Filename|question|ground_truths
0cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|O que a Lei Federal nº 9.294 proporciona em relação ao controle do tabagismo?|"""O cumprimento da Lei Federal nº 9.294, de 15 de julho de 1996, que dispõe sobre o uso de derivados de tabaco em recintos de uso coletivo, estende as medidas de proteção da saúde."""
0cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|O que caracteriza o primeiro acesso na Atenção Básica?|"""O Primeiro Acesso – ou Acesso de Primeiro Contato – do indivíduo com o sistema de saúde é, enquanto atributo, descrito como a acessibilidade e a utilização do serviço de saúde como fonte de cuidado."""
2cadernos_de_atencao_basica_no_36_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_diabetes_mellituspdf.txt|Qual o benefício do controle metabólico intensivo em pessoas com diabetes tipo 1 no contexto da nefropatia?|"""No entanto, o controle metabólico intensivo (HbA1C <7%) possui benefício melhor estabelecido em pessoas com DM tipo 1, podendo reduzir em torno de 40% a progressão da nefropatia [GRADE A]."""
2cadernos_de_atencao_basica_no_36_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_diabetes_mellituspdf.txt|Quais intervenções são mencionadas para a prevenção do desenvolvimento da nefropatia?|"""Outras intervenções incluem a manipulação de componentes da dieta, controle da dislipidemia e recomendação de suspensão do tabagismo."""
2cadernos_de_atencao_basica_no_36_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_diabetes_mellituspdf.txt|Qual foi a redução na incidência de neuropatia clínica observada em um estudo com pacientes com diabetes tipo 1?|"""Estudo em pacientes com diabetes tipo 1 mostrou redução de 64% na incidência de neuropatia clínica."""
2cadernos_de_atencao_basica_no_36_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_diabetes_mellituspdf.txt|Como a neuropatia autonômica se manifesta cardiovascularmente?|"""É caracterizada pela resposta anormal da frequência cardíaca a diferentes estímulos (respiração profunda, levantar-se do decúbito, manobra de Valsalva)."""
2cadernos_de_atencao_basica_no_36_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_diabetes_mellituspdf.txt|Qual é a abordagem para pacientes com neuropatia diabética, em relação ao controle glicêmico?|"""Como visto acima, ótimo controle glicêmico é importante para a prevenção de neuropatia."""
2cadernos_de_atencao_basica_no_36_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_diabetes_mellituspdf.txt|Como a depressão se relaciona com o diabetes mellitus?|"""As pessoas com DM são acometidas de depressão com prevalência pelo menos três vezes maior que a verificada na população adulta não diabética."""
2cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Qual é o índice de líquido amniótico considerado para diagnosticar oligoidramnia?|"""Consideramos oligoidramnia quando o resultado do índice de líquido amniótico é inferior ou igual a 5,0cm."""
2cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais patologias estão associadas à polidrâmnia?|"""Associa-se a algumas patologias, destacando-se o diabetes mellitus, as infecções congênitas..."""
2cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Qual é a inciência de RPMO em gestações?|"""Apresenta incidência entre 3% e 18%, com média de 10% e recorrência de 21%."""
2cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|O que é necessário evitar em caso de RPMO diagnosticada?|"""Os casos suspeitos ou confirmados de RPMO não devem ser submetidos ao exame de toque vaginal..."""
2cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|O que caracteriza a pré-eclâmpsia?|"""Pré-eclâmpsia: aparecimento de hipertensão e proteinúria (300mg ou mais de proteína em urina de 24h)..."""
2cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Como a diabetes mellitus gestacional (DMG) é definida?|"""A diabetes mellitus gestacional (DMG) é definida como uma alteração no metabolismo dos carboidratos..."""
3cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|"Como é definida a ""abstinência definitiva"" em relação ao uso do tabaco?"|"""Abstinência definitiva (ou contínua). Suspensão definitiva de uso de determinada substância (neste material, especificamente relacionada à nicotina). Não existe um consenso quanto ao ponto de corte para a definição de abstinência definitiva do tabaco, que pode variar do período de cinco meses em alguns estudos até o período de 12 meses, critério do DSM-V, sempre contado a partir da data de parada ('Dia D')."""
3cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|"O que são ""anos de vida ajustados por qualidade""?"|"""Anos de vida ajustados por qualidade ('Quality Adjusted Life Year' ou QALY). Medida que avalia anos de vida ajustados pela qualidade de vida, usada para quantificar os benefícios de uma intervenção sanitária."""
3cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|"O que é uma ""entrevista motivacional"" conforme descrito no texto?"|"""Entrevista motivacional. Técnica de entrevista projetada para aumentar a motivação da pessoa para o engajamento em uma determinada ação, como adesão a tratamentos e mudanças comportamentais (neste material, referente à motivação para o fumante deixar de fumar)."""
3cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|"Como é definida a ""eficácia"" em tratamentos de cessação do tabagismo?"|"""Eficácia. Resultado obtido com um determinado tratamento fornecido em condições quase ideais de controle, tipicamente um ambiente definido de pesquisa."""
3cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|"Qual é a definição de ""comorbidade"" em relação ao tabagismo?"|"""Comorbidade. Coexistência de duas ou mais doenças em um mesmo indivíduo. O tabagismo é considerado equivalente a uma doença crônica."""
3cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|"O que são ""cursos de tratamento"" e qual é o seu propósito?"|"""Os cursos de tratamento são períodos de acompanhamento e avaliação contínua dos esforços do paciente para deixar de fumar, reforçando os progressos."""
0caderno_34.txt|De que forma a saúde mental é relacionada à saúde geral segundo o texto?|"""entendemos que a saúde mental não está dissociada da saúde geral."""
0caderno_34.txt|Quais são os princípios orientadores da Atenção Básica mencionados no texto?|"""Orientam-se pelos princípios da universalidade, da acessibilidade, do vínculo, da continuidade do cuidado, da integralidade da atenção, da responsabilização, da humanização, da equidade e da participação social."""
0caderno_34.txt|O que é um Projeto Terapêutico Singular?|"""Um projeto terapêutico é um plano de ação compartilhado composto por um conjunto de intervenções que seguem uma intencionalidade de cuidado integral à pessoa."""
0caderno_34.txt|Como a equipe de saúde deve abordar usuários em situação de sofrimento psíquico?|"""o profissional se dispôs e soube se colocar como este interlocutor."""
0caderno_34.txt|"Quais foram as diretrizes dos projetos terapêuticos elaborados para os moradores da ""casa dos 20""?"|"""os projetos terapêuticos foram elaborados e executados com as seguintes diretrizes..."""
0caderno_34.txt|Qual é a relação entre o território e o cuidado em saúde mental?|"""O território é um componente fundamental na organização dos serviços da Atenção Básica, pois é a partir deles que se estabelecem limites geográficos."""
3cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Quais são algumas maneiras em que a violência física, emocional ou psicológica pode se expressar?|"""Este tipo de violência pode se expressar de várias maneiras: com implicância, colocação de apelidos, exclusão do grupo, intimidação, assédio, humilhação, difamação, agressão física etc."""
3cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|O que caracteriza a suspeita de violência ou maus-tratos em crianças?|"""A suspeita de violência, também conhecida como maus-tratos, surge, em geral, no momento em que se procede à anamnese ou ao exame físico da criança."""
3cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|O que deve ser feito se houver retardo na busca de auxílio médico para uma criança com suspeita de violência?|"""Houve retardo na busca de auxílio? É inexplicável o atraso entre o 'acidente' e a procura de tratamento médico?"""
3cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|O que a equipe de saúde deve fazer ao identificar uma possível situação de violência em uma criança?|"""A comunicação dos casos suspeitos e confirmados à autoridade competente (Conselho Tutelar ou Vara da Infância e da Juventude) é obrigatória e de responsabilidade do profissional de saúde..."""
3cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Quais são os principais objetivos ao se trabalhar com famílias para a prevenção da violência contra crianças|"""Promover saúde é trabalhar pelo menos com duas chances."""
3cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Quais são os possíveis fatores que aumentam a vulnerabilidade da criança à violência nas relações familiares?|"""Pais com baixa autoestima, controle deficiente de impulsos, problemas de saúde mental, comportamentos antissociais."""
2cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Como o consumo de álcool se relaciona com o tabagismo entre os usuários de álcool?|"""Tabagistas consomem mais álcool em relação aos não tabagistas."""
2cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Como está relacionado o consumo de álcool e a intensidade do consumo de cigarro entre tabagistas?|"""Quanto mais intenso o consumo de álcool, maior o consumo de cigarro."""
2cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Quais são algumas situações difíceis que um indivíduo pode enfrentar ao tentar cessar o tabagismo?|"""Durante o processo de cessação de tabagismo, o indivíduo pode se deparar com diferentes situações difíceis, que podem ser inéditas ou já vivenciadas anteriormente."""
2cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Como o contexto de um lapso deve ser avaliado?|"""Ambos, quando ocorrem, devem ser avaliados em que contexto ocorreram, para que o fumante se dê conta de como e por quê aconteceu."""
2cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|O que ocorre no organismo fumante com o uso do tabaco?|"""A distribuição ocorre em todo organismo, com formação de metabólitos nocivos para múltiplos órgãos."""
2cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Qual a importância do tabagismo no tratamento do diabetes mellitus?|"""O tabagismo é o mais importante fator de risco cardiovascular em pessoas com diabetes mellitus."""
3cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|Quais são os benefícios da prática de atividade física além da perda de peso?|"""Além disso, ajuda a relaxar, a melhorar o humor, a disposição para as atividades diárias e a socialização."""
3cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|O que é considerado um prontuário e qual sua função?|"""O prontuário é um documento legal destinado ao registro dos cuidados prestados por toda a equipe de Saúde."""
3cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|O que deve ser negociado amplamente durante o acompanhamento do usuário?|"""Faz-se necessário que o plano alimentar seja amplamente negociado a todo o momento."""
3cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|De acordo com o texto, quais podem ser algumas complicações da cirurgia bariátrica?|"""São algumas das complicações: seromas, infecções cutâneas, atelectesia pulmonar, infecção urinária."""
3cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|O que caracteriza a bulimia nervosa segundo o texto?|"""Caracterizada por grande e rápida ingestão de alimentos com sensação de perda do controle (episódios bulímicos)..."""
3cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|Como o texto descreve a relação entre a sociedade atual e os transtornos alimentares?|"""A preocupação da sociedade atual pela perda e controle de peso leva à busca de dietas por meio dos diversos meios de comunicação."""
2cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Quais condições cardíacas podem necessitar de avaliações mais precisas através de teste ergométrico?|"""Indivíduos com cardiopatias como angina de esforço, insuficiência cardíaca, entre outras, podem necessitar de avaliações mais precisas, que requerem a realização de teste ergométrico."""
2cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Por que o ganho de força é importante para a autonomia dos indivíduos, especialmente em idosos?|"""Esse componente é importante para a saúde quando se considera a capacidade de autonomia dos indivíduos, principalmente em idosos."""
2cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Quais os efeitos da diminuição da flexibilidade nas atividades cotidianas?|"""a diminuição da flexibilidade de algumas articulações prejudica a postura e pode trazer dores, além de diminuir a autonomia do indivíduo para realizar atividades cotidianas."""
2cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Quais são as recomendações gerais sobre atividades físicas para crianças de 5 a 17 anos?|"""Para população de 5 a 17 anos, aconselha-se que correspondam a atividades de lazer, esporte, transporte ou atividades escolares, perfazendo pelo menos 60 minutos de atividade física de intensidade moderada a vigorosa diariamente."""
2cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Quais são as principais terapias utilizadas na Medicina Tradicional Chinesa?|"""como principais recursos terapêuticos, utiliza acupuntura, auriculoterapia, eletroacupuntura, moxaterapia, ventosaterapia, plantas medicinais, dietoterapia, práticas corporais e mentais da MTC."""
2cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|O que a Política Nacional de Práticas Integrativas e Complementares (PNPIC) estabelece?|"""Essa política estabelece diretrizes para o desenvolvimento de ações para garantir o acesso seguro e o uso racional de plantas medicinais e de fitoterápicos."""
2cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|Por que o uso de edulcorantes em gestantes e crianças é controverso?|"""O largo consumo de edulcorantes artificiais e naturais nas diferentes fases do curso de vida tem provocado controvérsia, principalmente o uso em gestantes e crianças."""
2cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|Como se define a magnificação no contexto do pensamento disfuncional?|"""Os estímulos são acrescidos de significados que não são confirmados por uma análise objetiva."""
2cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|Como a técnica de autorregistro pode ser utilizada no manejo nutricional?|"""A técnica de autorregistro servirá para identificar os alimentos e o contexto em que ele se torna um facilitador do comer compulsivo."""
2cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|O que pode indicar um padrão que se repete por gerações em relação à obesidade?|"""Se existe algum padrão, tanto no aparecimento da obesidade quanto na forma de relacionar-se com quem tem obesidade, que se repete por gerações."""
2cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|O que a mudança no tempo disponível para o preparo de alimentos pode levar a?|"""O que, em alguns casos, leva ao consumo de refeições com alimentos menos variados, pré-processados e/ou prontos, por parte de toda a família."""
2cadernos_de_atencao_basica_no_38_estrategias_para_cuidado_da_pessoa_com_doenca_obesidadepdf.txt|Quais as ações que devem ser implementadas nas escolas para prevenção da obesidade?|"""A regulamentação da publicidade de alimentos ricos em açúcar, gorduras saturadas e trans e sódio; ações educativas nas escolas."""
1cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|O que é necessário para identificar o problema na gestão de caso?|"""A seleção do caso é seguida da identificação do(s) problema(s) e, para tal, é necessário recolher o máximo de informações sobre a pessoa que será o sujeito da gestão de caso."""
1cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|O que se espera com o plano de cuidados em relação à saúde e recursos?|"""Espera-se uma melhor qualidade da Atenção à Saúde, o uso eficiente dos recursos e o máximo possível de autonomia e independência às pessoas."""
1cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Quais são as diversas formas de monitoramento do plano de cuidado?|"""O monitoramento pode ser presencial, por telefone ou por correio eletrônico."""
1cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Qual é a condição do sr. João Adamastor, conforme indicado no exemplo de gestão de caso?|"""O sr. João Adamastor, 75 anos, é viúvo, apresenta hipertensão arterial de difícil controle, tem dificuldade de deambular devido à gonartrose bilateral..."""
1cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|O que se deve definir para atender as necessidades do sr. João?|"""Elaborar a lista de problemas/necessidades e expectativas do sr. João e da família."""
1cadernos_de_atencao_basica_no_35_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronicapdf.txt|Quais são os principais fatores de risco comuns às doenças crônicas?|"""...os quatro grupos de doenças crônicas de maior impacto mundial (doenças do aparelho circulatório, diabetes, cânceres e doenças respiratórias) possuem quatro fatores de risco em comum: tabagismo, inatividade física, alimentação não saudável e consumo excessivo de álcool."""
0cadernos_de_atencao_basica_no_13_canceres_do_colo_do_utero_e_da_mamapdf.txt|Quais são os principais cânceres abordados neste documento e sua justificação para o controle?|"""Os elevados índices de incidência e mortalidade por câncer do colo do útero e da mama no Brasil justificam a implantação de estratégias efetivas de controle dessas doenças que incluam ações de promoção à saúde, prevenção e detecção precoce, tratamento e de cuidados paliativos, quando esses se fizerem necessários."""
0cadernos_de_atencao_basica_no_13_canceres_do_colo_do_utero_e_da_mamapdf.txt|Qual é a magnitude do câncer de mama no contexto mundial, de acordo com os dados de 2008?|"""Segundo a Organização Mundial da Saúde, em 2008, ocorreram 1.384.155 casos novos de câncer da mama em todo o mundo, o que torna o tipo de câncer mais comum entre as mulheres."""
0cadernos_de_atencao_basica_no_13_canceres_do_colo_do_utero_e_da_mamapdf.txt|Qual o papel da Atenção Básica nos cuidados paliativos para pacientes com câncer?|"""O tratamento paliativo não se resume ao doente terminal, acamado, mas envolve graus variados de acometimento orgânico e qualidade de vida."""
0cadernos_de_atencao_basica_no_13_canceres_do_colo_do_utero_e_da_mamapdf.txt|O que deve incluir o acolhimento nas práticas de saúde?|"""O acolhimento não é um espaço ou um local, mas uma postura ética, não pressupõe hora ou um profissional específico para fazê-lo."""
0cadernos_de_atencao_basica_no_13_canceres_do_colo_do_utero_e_da_mamapdf.txt|O que é a Linha de Cuidado no contexto do câncer do colo do útero?|"""A Linha de Cuidado do Câncer do Colo do Útero tem a finalidade de assegurar à mulher o acesso humanizado e integral às ações e aos serviços qualificados para promover a prevenção do câncer do colo do útero."""
0cadernos_de_atencao_basica_no_13_canceres_do_colo_do_utero_e_da_mamapdf.txt|Qual a necessidade da estruturação de um sistema de informação para o câncer?|"""Para o aprimoramento dos programas de rastreamento e diagnóstico precoce é fundamental a estruturação de um sistema de informação que possibilite o diálogo entre os diversos serviços."""
3cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Qual é a eficiência da gota espessa em comparação ao esfregaço delgado para a detecção da infecção malárica?|"""estima-se que a gota espessa seja 30 vezes mais eficiente do que o esfregaço delgado para a detecção da infecção malárica."""
3cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais sintomas podem ser encontrados em gestantes que apresentam infecção urinária e malária na mesma época?|"""inclusive aquelas gestantes com quadro clínico sugestivo de infecção urinária, uma vez que as duas doenças podem apresentar quadros clínicos similares."""
3cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais são algumas complicações da malária grave listadas no texto?|"""Malária cerebral, anemia grave, insuficiência renal aguda, edema pulmonar, hipoglicemia grave, choque, coagulação intravascular disseminada (CIVD)."""
3cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Qual é o regime de quimioprofilaxia recomendado após recaídas de malária em gestantes?|"""cloroquina e, em seguida, iniciar o esquema de cloroquina semanal profilática, durante 12 semanas, para a prevenção de novas recaídas."""
3cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|O tratamento de infecções por parasitas intestinais deve ser realizado em gestantes sempre?|"""Pacientes com parasitos intestinais só devem ser tratados na gravidez quando o quadro clínico é exuberante ou as infecções são maciças."""
3cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|O que as gestantes com epilepsia devem fazer em casos de aumento de frequência das crises?|"""No entanto, as crises generalizadas tônico-clônicas podem ocasionar acidentes graves e, potencialmente, podem acarretar hipóxia materna e fetal."""
1cadernos_de_atencao_basica_no_29_rastreamentopdf.txt|Como o Instituto Nacional de Câncer (INCA) busca garantir o controle de qualidade nos exames de mamografia?|"""Nesse sentido, o Instituto Nacional de Câncer (INCA) está desenvolvendo um programa de qualidade e padronização dos laudos de mamografia e credenciando os serviços de diagnose."""
1cadernos_de_atencao_basica_no_29_rastreamentopdf.txt|O que define viés em estudos clínicos?|"""Define-se viés como qualquer tendência na coleta, análise, interpretação, publicação ou revisão de dados que pode levar a conclusões que sejam sistematicamente diferentes da verdade."""
1cadernos_de_atencao_basica_no_29_rastreamentopdf.txt|O que é o viés do sobrediagnóstico e qual é seu impacto?|"""Viés do sobrediagnóstico: Os estudos observacionais podem levar a conclusões totalmente enganosas, pois são afetados tanto pelo viés de tempo de duração como pelo viés do sobrediagnóstico."""
1cadernos_de_atencao_basica_no_29_rastreamentopdf.txt|Como os resultados dos ensaios clínicos são frequentemente apresentados?|"""Geralmente, os benefícios do programa de rastreamento são medidos da seguinte forma: Risco relativo e redução do risco relativo; Ganho na expectativa de vida; Custo por caso detectado; Custo por vida salva; Ganho em qualidade, ajustado aos anos de vida (QALYs); Número necessário para rastrear (NNR)."""
1cadernos_de_atencao_basica_no_29_rastreamentopdf.txt|O que são meta-análises e qual é sua finalidade?|"""Meta-análises: metodologia na qual os resultados de um número de estudos que abordam a mesma questão e empregam métodos similares são combinados para aumentar a força estatística."""
1cadernos_de_atencao_basica_no_29_rastreamentopdf.txt|Quando se recomenda o rastreamento de desordens lipídicas em homens?|"""Está recomendado fortemente o rastreamento das desordens lipídicas em homens com 35 anos ou mais."""
0cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|O que representa a Rede Cegonha?|"""a Rede Cegonha será implementada em parceria com estados e municípios, gradativamente, em todo o território nacional."""
0cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Como o Caderno de Atenção Básica busca contribuir para o cuidado das crianças?|"""Este Caderno de Atenção Básica está inserido nesta proposta como uma das ofertas que objetivam apoiar as equipes de atenção básica no processo de qualificação do cuidado"""
0cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Que condições devem ser avaliadas na anamnese do recém-nascido?|"""procura-se avaliar principalmente as condições do nascimento da criança (tipo de parto, local do parto, peso ao nascer, idade gestacional, índice de Apgar, intercorrências clínicas na gestação, no parto, no período neonatal e nos tratamentos realizados)."""
0cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Por que é importante a realização do teste do pezinho no recém-nascido?|"""O teste do pezinho, feito na criança logo após o seu nascimento, permite a detecção da fenilcetonúria e do hipotireoidismo congênito."""
0cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Quais aspectos são considerados na abordagem da saúde da criança com a equipe de saúde?|"""que podem oferecer suporte à família, destacando-se os próprios membros familiares, como avós, tios, primos e também amigos."""
0cadernos_de_atencao_basica_no_33_saude_da_crianca_crescimento_e_desenvolvimentopdf.txt|Quais são as evidências sobre a realização de visitas domiciliares em relação à saúde infantil?|"""Entre os benefícios, salientam-se os seguintes: Desenvolvimento da parentalidade; Melhoria de alguns problemas de comportamento da criança."""
2cadernos_de_atencao_basica_no_23_saude_da_crianca_aleitamento_materno_e_alimentacao_complementarpdf.txt|Quais alimentos devem ser introduzidos a partir dos seis meses de idade?|"""A partir de seis meses, recomenda-se a introdução de alimentos complementares."""
